estacion_id,estacion_nombre,fecha_instalacion,fecha_baja,municipio_id,municipio_nombre,localidad_nombre,paraje,latitud,longitud,utm_x,utm_y,altitud,datalogger_tipo,sensores_cantidad
83,URSUBAJA,2007-06-11T00:00:00,,38039,Santa Úrsula,Santa úrsula,Malpaís,28.43283199529333,-16.49047916257109,354033.0,3146055.0,205.0,DL15 estacion,6
85,ICOR,2007-06-28T12:19:27,,38005,Arico,Icor,ICOR,28.20762186064576,-16.456562015410327,357054.0,3121061.0,381.0,DLx estacion,6
86,ELROSARIO,2009-04-06T12:20:56,,38032,El Rosario,Esperanza (La),LA ESPERANZA,28.457313,-16.338353,368961.0,3148589.0,655.0,DL15 estacion,5
87,AGUAMANSA_MA,2009-04-17T00:00:00,,38026,La Orotava,Aguamansa,AGUAMANSA,28.361545,-16.497018,353295.0,3138163.0,1065.0,DLx estacion,6
88,GAITERO_MA,2009-09-18T00:00:00,,38051,La Victoria de Acentejo ,Victoria De Acentejo (La),Montaña Gaitero,28.39470099050659,-16.43330078875124,359583.0,3141762.0,1744.0,DLx estacion,6
89,CHAVAO_MA,2009-09-18T00:00:00,,38019,Guía de Isora,Guía De Isora,Montaña Chavao,28.21981767214626,-16.705394975369472,332649.0,3122731.0,2071.0,DLx estacion,6
90,PICACHO_MA,2009-11-26T00:00:00,,38005,Arico,Arico,MONTAÑA PICACHOS,28.22425625456441,-16.52116740178451,350736.0,3122982.0,1654.0,DLx estacion,6
91,GALECUBO_N,2010-01-28T00:00:00,,38044,El Tanque,Tanque (El),Ruigomez,28.347598,-16.794801,,,880.0,DLx estacion,6
92,SANTA_CRUZ,2010-06-01T00:00:00,,38038,Santa Cruz de Tenerife,Santa Cruz De Tenerife,Cruz del Señor,28.46244764772391,-16.27327781540953,375341.0,3149092.0,136.0,DLx estacion,6
93,HOYA_GRANDE,2010-06-24T00:00:00,,38001,Adeje,Adeje,HOYA GRANDE,28.14268790447368,-16.779473272010705,325253.0,3114289.0,130.0,DL15 estacion,6
94,TOPO_MA,2010-07-29T00:00:00,,38052,Vilaflor,Vilaflor De Chasna,LOS TOPOS,28.17188024705654,-16.65146131618019,337870.0,3117346.0,1833.0,DLx estacion,6
95,ALCALA,2011-01-25T00:00:00,,38019,Guía de Isora,Alcalá,ALCALA,28.21102835862745,-16.829648714442442,320439.0,3121935.0,30.0,DL15 estacion,6
96,ARAYA,2011-04-01T00:00:00,,38011,Candelaria,Araya,Araya,28.37049730657404,-16.39747556920929,363062.0,3139039.0,525.0,DLx estacion,6
97,TAGANANA,2011-06-24T00:00:00,,38038,Santa Cruz de Tenerife,Taganana,LOS CHORROS,28.5599059971053,-16.227997409615455,379887.0,3159844.0,300.0,DLx estacion,6
98,DRAGO,2011-09-01T00:00:00,,38022,Icod de los Vinos,Icod De Los Vinos,EL DRAGO DE ICOD,28.36683634224936,-16.72233004421264,331219.0,3139045.0,220.0,DLx estacion,6
101,IGUESTE,2011-09-01T00:00:00,,38038,Santa Cruz de Tenerife,Igueste De San Andrés,IGUESTE,28.53230409888186,-16.157322322606888,386769.0,3156717.0,75.0,DLx estacion,6
102,BVISTA02,2013-03-01T00:00:00,,38010,Buenavista del Norte,Buenavista Del Norte,Las Animas,28.38136007035851,-16.84592194819379,319130.0,3140834.0,66.0,DLx estacion,6
103,SILOS,2013-06-18T00:00:00,,38042,Los Silos,Silos (Los),El Polvillo,28.37600361069772,-16.82226160045161,321439.0,3140205.0,50.0,DL15 estacion,6
105,BAILADERO,2014-02-14T00:00:00,,38038,Santa Cruz de Tenerife,Bailadero,El Bailadero,28.55019174614773,-16.200384965240573,382575.0,3158740.0,720.0,DLx estacion,6
106,REALETH_N,2015-02-23T00:00:00,,38032,El Rosario,Realejos (Los),Icod El Alto,28.372963,-16.613027,341820.0,3139577.0,800.0,DLx estacion,6
181,ERES,2018-03-01T00:00:00,,38012,Fasnia,Roques (Los),,28.229661,-16.41734500000007,360931.0,3123460.0,105.0,DLx estacion,6
190,LAGUNA,2018-06-19T00:00:00,,38023,San Cristóbal de La Laguna,San Cristóbal De La Laguna,La Laguna,28.477917,-16.319435999999996,370823.0,3150858.0,559.0,DLx estacion,6
194,LaQuinta,2020-11-02T00:00:00,,38015,Garachico,Garachico,,28.372605,-16.773251,326236.0,3139740.0,40.0,Campbell CR1000X estación,6
198,Imetos_Ravelo,2022-04-25T00:00:00,,38041,El Sauzal,Ravelo Bajo,,28.463056,-16.421888,,,713.0,iMetos estación,5
199,Imetos_Tacoronte,2022-04-25T00:00:00,,38043,Tacoronte,San Juan,,28.481784,-16.422067,,,455.0,iMetos estación,5
201,Imetos_Trevejos,2022-04-27T00:00:00,,38052,Vilaflor,Trevejos,,28.14077,-16.65483,,,1276.0,iMetos estación,5
204,Imetos_Mazape,2022-09-24T12:00:05,,38034,San Juan de la Rambla,San José,Mazape,28.385072,-16.642024,,,381.9,iMetos estación,5
