Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
1668.1749088137276,4074.03724020994,9674.444444588256,1071.3249220817365,5699.042004508003,-3864.597235266204,19.266191084709362,10.625707407284505,3.4452590781501016,37.0,82.97603633434446,82.94362873659988,-0.03240759774458013,123.68109405370414,126.9097292577858,3.2286352040816553,0.07659924577676842
3504.4351282514485,7693.894110289989,5765.402113444654,-2442.3819306083315,127.03418955981306,3697.612666881354,3.4690411632787352,-1.7551081466526242,-0.2247938588963727,6.0,176.50426072316253,176.4885044576025,-0.015756265560042948,33.481537984884916,34.73711834202778,1.2555803571428612,0.03854266126434953
9291.345169109165,7491.352554820652,7109.519047930324,-317.31153237701074,-5907.121899994831,491.79033179672297,-7.948614688246053,-0.04175031444784949,6.5437721802047975,-2.0,-91.59018395591285,-91.5926675283353,-0.0024835724224487876,85.24770393507767,88.2467473024246,2.9990433673469283,0.06992721197457728
5593.705095538213,8338.138391880022,4886.695422330853,-3786.9368946593972,-947.9284294245981,965.1442308481592,1.7491426394993148,-5.3855298919078365,5.2313817742316076,-16.0,-167.03878099850408,-167.05358624348844,-0.014805244984358978,76.11303434548044,78.27980730466412,2.1667729591836746,0.06709806005027662
5652.788216952687,6233.141136234773,5240.986393106846,916.7498490098724,-453.0804890623076,2188.819188814761,2.9196097907500302,2.2308640582230694,0.9164383947125643,40.0,-27.636593487972707,-27.668050516716455,-0.03145702874374834,25.041645910078532,25.113393359058122,0.07174744897958973,0.07022535435455778
9236.769814792331,2361.1874504754906,951.5853101355453,-1907.4172589147647,-779.8484792085028,8256.827384573513,14.693941117414276,7.849293837961177,-2.288318036543462,-19.0,-156.65567964701174,-156.75392653949245,-0.0982468924807165,14.013210746636346,17.729728603779204,3.7165178571428577,0.0656015607159718
6374.34292798309,2512.1266331434012,1750.4701736511308,-4229.723148348223,1944.5898498084566,2069.0776594901736,-13.340606743578434,13.378478724789986,-10.558292815381488,19.0,156.57539035028952,156.5954858098718,0.020095459582279318,66.03702443105321,64.2792119310532,-1.7578125000000142,0.033400972495199154
2220.132559323166,1943.0334311076936,7344.1966949127645,6288.007134880146,6592.115992112005,266.7475218928703,6.374696229246229,10.82694968598306,9.222991512185551,-14.0,45.80298220592012,45.77753402987035,-0.025448176049764015,88.32284606565497,92.84293535136926,4.520089285714292,0.06664489162201068
5365.02336664307,3014.29867512095,8286.353976963885,-2431.4845293567855,5046.40638006443,-5920.695902564598,9.037221952857596,6.4640705040584905,-8.627318374652685,10.0,118.53095933220347,118.43277343757552,-0.09818589462794591,136.58614342641582,137.30361791621172,0.7174744897959044,0.1273005752134927
97.16053343120757,8065.685136119511,5729.336397492148,6281.841997672485,-5882.835679310205,2312.6479926225757,-9.160253580551426,-4.88782902544914,10.464221123068846,17.0,-41.31627900997581,-41.36022123275883,-0.04394222278302351,74.95911847546279,79.36441184280973,4.4052933673469425,0.07702057589848013
3673.7202826089897,4840.2295937675335,6367.074938844226,-3126.4649212162453,-2702.6236480865764,-66.98551531780777,7.457366007883678,-15.144766331362005,12.292261487599532,-6.0,-142.20693632740128,-142.24637601938738,-0.03943969198610375,90.92861314594488,94.45858763574081,3.529974489795933,0.12166614925393289
4745.194379714085,1311.2442981966376,8858.488495933561,-2075.853750352112,7487.075313751047,-8772.44280143823,10.349193538012269,1.3828411524170434,-19.434901706305418,12.0,108.12334537689335,108.01253755758948,-0.11080781930387218,138.46953348161557,138.1538447061054,-0.31568877551018204,0.14997505608674502
2815.9359644942806,8344.468390616546,1216.1291320303812,2008.1087034635784,-4268.595711344804,8754.72580232117,-6.431798800850146,11.150749839401072,-8.024768703146613,25.0,-64.42800018276948,-64.46817264255883,-0.04017245978934625,28.31733793289598,30.92894507575312,2.611607142857139,0.09929685378229154
5524.384849497454,4965.247829176919,2310.6494222028696,1625.022794203378,-2565.657470156095,2434.632546922042,12.432300429298408,7.742994351268237,2.089613757444127,21.0,-60.869988960307545,-60.948709324891716,-0.07872036458417142,51.2822374579658,52.34409970286376,1.0618622448979593,0.13690697844550279
9535.425378810882,169.6266683157499,8067.541900456312,-9516.146764489298,6982.049322683474,1799.7830375888243,-7.5495881584996525,13.825657171365648,0.40182612955567976,24.0,144.95057854346442,144.98366785236803,0.03308930890361239,81.32988072642104,84.18542919580878,2.8555484693877418,0.07635191525821468
1689.872217135283,4545.467492141949,5896.42568130341,-1546.421420338865,-1923.0371457565066,-4410.804072762547,-7.613658831254014,-1.0970281975977834,-2.9712156492007864,38.0,-126.9748686942035,-127.01735476434229,-0.0424860701387928,150.7745249704924,151.9296588990638,1.1551339285714164,0.03689319903284121
3362.605515937478,7708.291160035973,4593.973884476233,-2088.196805779191,-1927.1209845139174,237.1124863147279,-19.50638005495817,8.265933296921865,12.095975615542649,38.0,-134.03330407379215,-133.95367666290127,0.07962741089087899,85.23000425456138,87.84161139741853,2.611607142857153,0.14447330466072453
1012.4569146424411,9229.89405689079,7286.977369826559,468.0750099644571,-3041.768746413203,-5106.462697383469,-8.19929639641375,2.862385737151829,2.4790909987924827,33.0,-78.75076177997649,-78.88803771528471,-0.13727593530822446,148.92339343024219,149.29648016493604,0.37308673469385667,0.13929994838181783
5240.891740463424,7627.884485632187,6606.904297702584,-4648.053471361359,1.4952596911780347,-4329.279700664482,-4.31423252323469,14.704374331082676,-12.149660600966211,14.0,-176.5484775967013,-176.57106487065897,-0.022587273957668685,132.9663521379058,133.05244907668128,0.08609693877548352,0.1361172523458739
2189.3858593106274,4539.151387863703,8989.982731039017,4914.008356553182,2518.027080602671,18.932949333579018,7.038270081978872,-2.3817854544489556,16.113822115262415,30.0,28.080761183009812,28.09560961898871,0.014848435978898067,89.80353953250766,94.15143494067094,4.347895408163282,0.07531964079027767
5054.650917171357,1583.6242650706688,4066.870413214557,4839.220589023709,4649.807306905592,3859.1052248721485,12.088903641302096,-13.07495499834394,16.051431942862294,20.0,47.38968644767625,47.34093130208327,-0.048755145592977556,60.09964185247039,64.43318777083775,4.333545918367356,0.14539700186226798
2356.5852173277835,4715.433689132406,3809.6990089271776,7274.435136360102,-3861.305218211134,-3090.256516450224,9.384109213663795,-3.853609251845974,-2.0207017146429465,-10.0,-28.15178530908808,-28.16440942162545,-0.01262411253737028,110.56739818890024,113.10725788277782,2.539859693877574,0.07680407728762266
7903.561133901926,88.52307069755594,4413.907559447469,-6720.407166951787,7265.310520743945,2062.016221580642,-12.352275117950779,-16.32522710956547,17.707652017338432,33.0,129.278982333703,129.22208240479537,-0.05689992890762596,78.23081074052287,83.88450972011469,5.653698979591823,0.14047165313084742
8073.152904558233,7169.527470364252,3844.6653001373734,-5163.233794424879,1230.7003179707335,-3078.2311267423447,-8.861453333879377,5.676720395925308,-16.22638055701108,-14.0,167.31045051835974,167.3254504051869,0.014999886827155251,120.11098543582287,119.94596630316981,-0.16501913265305745,0.0317348688096985
1257.0410496989825,1882.5350031544763,4156.235030285784,396.33434347625007,263.5710387529034,1476.2062182057998,-7.786482397915066,7.340379102947043,1.7795698035913077,34.0,28.01325401171735,27.924638782610618,-0.08861522910673258,17.87088377816606,18.53096030877831,0.6600765306122511,0.12379727847934671
5408.728572832255,9314.725179074894,5271.193130720423,4122.107354299158,-4041.3992919015527,-493.63622656126427,8.17030991440933,-0.351864843532649,-18.60262810084253,-5.0,-45.43693224766628,-45.46605224195266,-0.029119994286382678,94.88755288698708,93.23736156045646,-1.6501913265306172,0.07301606214388136
7575.551298660369,2411.3071070544324,3870.594230457397,-2488.083748650045,1890.665149316677,-1424.7399266382831,-16.60577801642124,12.26113137182763,-10.069554334782666,20.0,142.71555324862592,142.71078993460873,-0.0047633140171967625,114.5095359614445,115.16781880583227,0.6582828443877702,0.00991399655897542
5374.909131664492,2679.8324896025983,513.9742886050913,622.688175726842,5141.437632679495,4136.757167294574,15.73607937249318,15.146096082011816,3.4471618098642125,33.0,86.10258578786701,86.12536229059113,0.022776502724113357,51.383722054583366,51.2545766464201,-0.12914540816326792,0.0759571268111302
2851.1185130022777,353.05052471283904,1760.3051653559576,1807.6526942312184,7941.2069508911145,3392.5846709359284,7.169559036923584,-11.68151034517249,19.086917382765883,1.0,78.98320995471329,78.9138089545582,-0.06940100015508222,67.38548785561998,73.49837050868122,6.112882653061234,0.14250531034351108
3109.297646449998,3269.0125712400263,382.9960114888442,2901.003613075178,4434.79278361194,1473.853652691548,-4.044470661400791,3.781796387795442,-2.7996896638513675,-10.0,55.79754190263798,55.78257108490707,-0.014970817730912245,74.45772900549107,75.38327109732782,0.9255420918367463,0.03730516582405606
5112.256973643889,6126.512864349107,5115.0357285771215,2844.569389965506,-1424.3119835209318,2555.062388612898,-15.868128248761778,-17.097031854549883,17.240834979454945,-7.0,-21.45986332903493,-21.520052586441544,-0.06018925740661274,51.22970240664914,55.56324832501648,4.333545918367342,0.14525443563919263
3221.609143852765,2637.917491643426,3087.747474468222,5828.125139662623,6556.26766288104,-1203.371357313471,-5.499892504993241,13.217568318392274,4.0952723245255065,17.0,46.1249803151032,46.064464505074525,-0.06051581002867579,97.81107765607781,100.82447051322067,3.013392857142861,0.1405314377219534
4300.732272569795,4833.511940985237,9926.307026235294,-3546.387343740649,557.384028361821,-4205.775176653991,-3.0692081877005464,-19.713113753672555,-2.2271212326881695,28.0,165.67053842767362,165.53784377200282,-0.13269465567080374,139.51693473542701,140.11961330685557,0.6026785714285552,0.15121129600559896
5844.2965397147655,8842.884505732076,6777.014426999675,-3085.3697247330697,-5341.34775503765,-499.7444196907318,0.9643641873911264,-0.701511711231511,7.483204090961692,-3.0,-120.23370569737475,-120.23451855101221,-0.000812853637469857,94.63178720858325,97.87118453001182,3.2393973214285694,0.014656283572894748
5666.560651226911,541.6123848728538,3981.2737301843226,-3626.0945848047177,882.7414475771312,-580.8486709962822,-7.204738755341541,-18.903163351407287,4.196779966550629,-8.0,162.60957657361232,162.57132577819667,-0.03825079541564946,98.84655061509508,100.71198428856447,1.8654336734693828,0.09647162590393597
3064.077479738486,8913.582545889103,7268.600322495895,5061.011192632317,-394.58391373718405,-1715.8220050574837,19.436443656111386,2.10286850189755,-9.393227399056752,18.0,-5.132735262222875,-5.19287597511147,-0.060140712888594905,108.6753444150882,109.45021686406781,0.7748724489796075,0.13797179382323535
9228.327867634438,3145.1990017882504,8473.216205482653,-5725.9847316030555,4007.097168340753,-7309.181120113388,12.289844629758655,-0.6277400896969851,-5.008338094990151,21.0,146.6063469291905,146.49036558889657,-0.11598134029392781,136.28351860936888,136.3122175889607,0.028698979591808893,0.1475801833750269
6574.3076215483425,2069.0458146203537,760.1980247817808,-3313.241081813711,588.6387788724437,6881.951097976325,-0.08019192825754118,0.03751672691899799,2.2848914161462055,40.0,169.93448927971843,169.9340340906757,-0.0004551890427251237,26.05762732105935,27.028011568508333,0.9703842474489832,0.009904978304934642
540.1446160766676,6964.4919079968095,7729.371712040684,4205.768645154845,2043.3006008166685,727.10373762153,1.986961669870059,16.498664734509006,-13.282642270535634,37.0,23.427730712922436,23.36299416056411,-0.0647365523583261,81.16118374419953,79.81233170338321,-1.3488520408163254,0.13140160873878257
4226.6189173336825,3326.4031922046897,3137.459263816178,-3159.854608007952,-798.5431367178385,-127.14806504561147,-10.548079375151701,-3.0119029099493844,-13.13954956386912,37.0,-165.87334538158407,-165.87532129384155,-0.001975912257478285,92.23409614269164,90.8708946120794,-1.363201530612244,0.046629169400321566
9303.707726125684,1048.2257840826526,4176.498907989894,-2458.7673019161557,5740.512384081675,969.2938851177632,-5.4281029485882435,15.653310727088346,-8.330372488778055,40.0,113.3869500280005,113.3943375651903,0.007387537189799787,81.17733896180205,80.82936383425101,-0.3479751275510381,0.01685678239655209
6891.767598019534,5111.411516779541,4834.394845171507,-1076.9447127703434,-1424.7405951553242,208.64694358194356,-10.029788503179628,-1.260853840368,13.801491923460816,13.0,-125.80070563091964,-125.76936397287103,0.03134165804860345,83.33660058584343,86.07735313686385,2.740752551020421,0.07184904236579763
8395.32832341182,395.7179422369994,4241.75091324928,-7202.370076366487,4759.224148101821,-1582.1556835818587,-10.338440086275678,3.971579911803932,-5.378425222388611,-20.0,146.0933098337556,146.0671798047744,-0.02613002898118566,100.38555149194897,102.25098516541836,1.8654336734693828,0.1150143538462024
9630.503805121723,4542.522894181311,2205.937409317328,-4727.848224413512,5085.833946784334,-913.9421492538934,11.262576753768077,18.946793256760436,-0.8856526324458045,27.0,136.48447707271933,136.51917031342617,0.03469324070684365,97.49801735240601,99.13385918914071,1.6358418367346985,0.10542883399796048
6655.862428563269,1887.2307523746335,3612.2031029682844,637.3540537147755,7264.566521204142,4871.522415012321,-0.44132138740428317,15.82466533261374,-0.06501656948620038,25.0,84.59574956560198,84.55960969071404,-0.036139874887936685,56.256255400037844,56.52889570616029,0.2726403061224474,0.05809887962143169
2698.829208585771,8811.110491859476,7495.068170991522,183.84885128918359,-5571.033763575226,-6203.5515816054085,-3.3074111861658864,1.7062006147207462,0.423029678302008,-19.0,-87.20025948738233,-87.26284018646484,-0.06258069908251684,138.05940914672786,139.5804550650952,1.5210459183673493,0.09117410249703992
8347.839138926263,5989.537495108609,352.3164764692399,242.93396014337486,487.3872451214411,1874.1764416542462,7.730264571917278,-14.753965264191438,5.5127403711987775,26.0,70.76641411331958,70.70445468614834,-0.06195942717124581,16.202187863683683,18.28286388409185,2.0806760204081662,0.06188500810715059
216.71362996664277,3724.109197737773,5303.523254329569,4386.6264865253725,-2099.505939072219,-2142.801270214324,13.112094855997853,-7.376709362322632,19.67637463490938,-4.0,-25.372006688477065,-25.37316507703223,-0.0011583885551651463,113.77916583120683,119.47591328018642,5.696747448979593,0.07630792396399964
8571.237767383984,6858.374223817399,120.53453607266063,-5678.3008721635215,-5306.262050297285,6880.456521889404,10.218524438459301,12.747202601285224,3.3990847051583195,11.0,-136.41166749493163,-136.45661391352033,-0.04494641858869386,48.48087534902531,52.98661514494368,4.505739795918366,0.12567173515789856
5291.878538428544,6063.763298116791,2115.369356356742,-2206.489408542586,3884.7573494336384,826.97250650961,-7.5210092618825275,2.076614146842818,-4.404526893255415,15.0,118.62728740627728,118.60552585511793,-0.02176155115934364,79.51312181898709,79.71401467612995,0.2008928571428612,0.09986938840518263
7293.206063791188,9238.870937595299,165.3383851432788,-1147.2125155665908,449.3592784618213,9251.022806298084,18.036111011942943,6.607162368297853,17.118421116201773,-14.0,171.2498600827131,170.7804812909445,-0.4693787917686052,7.586184456704958,11.460546701602915,3.8743622448979576,0.15570078531322964
5867.304005733064,961.5253565359261,9587.101411754144,-3462.6420985898253,7773.456956663461,-190.95945055029006,16.328109611269568,11.946715510538283,12.69840672148436,28.0,117.57217615905992,117.60003010109625,0.02785394203633018,91.28549997506856,95.94908415874202,4.663584183673464,0.06419190824691799
7654.241993877793,5145.16734875034,1951.83314452566,-688.031031386523,1683.1103174202735,4676.377025968349,11.034945006903083,16.853800377161136,3.880005315411566,39.0,120.43914913708787,120.28096001729743,-0.15818911979043548,21.247501829586632,20.300435503056026,-0.9470663265306065,0.14767200560719157
8514.387562411208,6003.96556328572,5252.577538081886,-4459.192300145848,-5684.021473203627,3832.3602321806457,-19.414515373843116,-19.56171965478046,-5.773672913270929,20.0,-127.44823156517258,-127.42813713150089,0.020094433671687284,62.0553109439642,60.6490609439642,-1.40625,0.089673329562959
5046.397038827177,1932.4044529855955,3414.35238285328,1382.8504884384747,-1419.9423062948836,-2767.7877055531962,-13.579584126992144,-4.9414369070004405,-0.7268806676583779,21.0,-42.00130355895914,-42.11997553358517,-0.1186719746260323,144.39307603552564,143.9625913416481,-0.4304846938775313,0.12990595404021657
5331.807383711194,4322.495506666601,6382.647301072799,-307.0678180323039,3294.3571874319496,1748.7204477915266,4.414018111826849,13.546331527150485,19.574308914047343,-4.0,96.50101862421376,96.5601935671028,0.05917494288904379,62.14211743427315,65.15551029141601,3.013392857142854,0.14048278302920483
4572.47240866639,8879.821244795248,8533.852457775292,1249.3881758795978,-5728.349785855782,-807.9795159564046,0.3677431908287261,-10.798986150713015,18.960142969985647,32.0,-77.34797371639898,-77.3423196314843,0.005654084914681334,97.84648120385202,102.86880263242344,5.022321428571416,0.1496738981740854
2395.1065947340167,8134.86505668551,2549.463664009144,-641.9710995687321,-3788.0275212543374,3265.2456854767106,19.144985612709945,2.711798006146317,3.43564558549447,-10.0,-103.98911186168499,-103.98985432327005,-0.000742461585062415,49.63969905571963,52.03606385163799,2.396364795918359,0.0776531367954654
2310.9086545000255,6732.354947041223,7722.035895192958,-2179.9150566467283,-2111.4486947274963,-115.82577022312216,-11.804307975074636,4.106010337191343,7.483634611669935,14.0,-133.88572146674437,-133.85479055353704,0.030930913207328103,92.18565444818557,94.40982536655292,2.2241709183673493,0.07364760082316121
580.2650944590681,7400.873036967929,6225.02073236872,-188.43495970726536,-6541.086780986369,-1075.5871621187416,-17.81688013462171,0.2498340493077258,-10.117347746435964,11.0,-88.4334731232837,-88.45426547251814,-0.02079234923444062,99.33409427334963,99.36996799783944,0.03587372448980375,0.03882411679719051
5396.021353196556,6833.361529757731,3079.665213315117,3975.705531913938,-5425.716323108049,2360.7542830550897,-15.412023081761038,-6.137249588437822,11.238373865725126,22.0,-50.859299961667105,-50.9267691095045,-0.067469147837393,70.66056999731764,74.47753428303191,3.8169642857142776,0.14953064964233428
9130.625521122534,7373.588097726744,7603.520650193059,-2108.076061304402,-5244.6263191114085,1053.6579176835276,-6.781111809590481,-17.382329321699395,19.50841600607467,32.0,-111.93153741249017,-111.93429789657827,-0.0027604840880997017,79.44082141089719,83.6559840384482,4.21516262755101,0.017848701320984633
1625.9670822131623,6594.2445526797155,9484.296855494018,73.44349272521026,-952.9497793881583,-1859.3079367047467,-7.2788890267290185,5.767881548821858,-1.953421693827643,24.0,-83.02065502476087,-83.07605537478887,-0.055400350027994705,152.7946071526921,151.89058929554923,-0.9040178571428612,0.0693070200897404
54.2583248607087,6591.433871858053,3433.284704843289,7148.589382731364,863.9410938940964,2096.747849767517,18.865435897485504,-1.431757363491588,1.790071496204657,5.0,7.580178741150964,7.606002789031385,0.025824047880421475,73.76494311164227,75.042047703479,1.277104591836732,0.06899681414275219
1799.6790891075564,1307.6580905422231,4643.726854546161,3182.0470250402377,1487.0782407288418,-4216.743187768942,-11.251780525563442,-13.697428518318379,-8.006500997362549,-12.0,27.084246610072054,26.979925024141796,-0.10432158593025775,140.20702893344122,138.11200342323716,-2.095025510204067,0.1308172651723105
6027.165302411914,9252.427685039043,1673.9958347290285,-2919.7857355006126,-4635.112906728113,3612.577731655533,-5.515325647855285,-15.692250164394629,14.48491700348736,40.0,-122.94087481294378,-123.01388784586236,-0.07301303291858119,56.59674966537265,58.34738742047469,1.7506377551020407,0.13018294874570036
7158.054101081513,1340.1439189677444,5558.512920911384,2281.9038086427727,3662.5888562242703,2893.2490557711735,0.040826867971301084,-1.3610813645415156,2.2370780342288015,-9.0,58.24654392713619,58.24143256739856,-0.005111359737625776,56.15948665004303,57.97828448167568,1.8187978316326507,0.018635386134951963
582.8632901297681,5475.141912476938,9250.918604042541,555.7705102033251,-1211.3009602248421,-3611.29788411507,-9.365150721870204,10.359904421935724,-15.083195160107268,20.0,-63.46884777205624,-63.4809811628707,-0.01213339081445497,159.74389088390802,156.98161409819372,-2.762276785714306,0.03838848131535851
9703.938713064104,7593.817713457052,5657.622530502487,-6335.606368037323,-4964.470754866815,440.0876252584949,-16.560803211324494,-8.032071029734276,-11.19956669329536,32.0,-141.2449605724674,-141.21138384992355,0.0335767225438417,86.8703959085999,86.74125050043664,-0.12914540816326792,0.06634446837637724
9082.416848173896,7409.679193859981,4629.847558031436,-8297.770766172822,658.4544093978811,4834.932997157827,-2.806138987300592,-8.63958993418072,-13.417079039160772,25.0,173.61719629334823,173.56293376167028,-0.054262531677949255,59.84972571473068,59.82102673513886,-0.028698979591823104,0.10808546324545208
3377.7836352154454,1362.388428518999,7067.278653042477,4713.968918694821,5181.046685419196,-266.8156388935431,2.8943832761477992,11.023750394638189,-5.408879261615102,15.0,46.755108147151034,46.719872593692585,-0.035235553458448976,92.18141961447512,93.18588390018941,1.0044642857142918,0.12447996386682149
2892.5232433487004,4767.561255438276,345.0747759162365,-2176.9614324655618,432.25409328029855,397.6578511877582,-9.441309236232659,-14.47634095156387,14.574445011760524,5.0,165.97813534534933,165.89646145425408,-0.08167389109524947,79.8421679558084,82.68336693540026,2.8411989795918515,0.14140012448965947
3304.4480806832767,3852.976899257625,695.3175483915563,896.7489085091624,-1238.8629204257272,7621.027873636996,3.8527366563366456,1.0309212087178246,4.960884650427179,16.0,-57.43554245069859,-57.740410739484524,-0.30486828878593286,11.3471838615912,11.662872637101401,0.3156887755102016,0.13972277091041965
1851.9468318123345,8609.294828437629,2764.9283134293855,1990.4067348385747,-8198.383879259103,5156.68411876933,-0.5886295226638971,-7.744494122411613,1.2898753114372496,-16.0,-75.82096573804603,-75.83897275702877,-0.01800701898274326,58.56538893709639,60.567142763627,2.00175382653061,0.03844701805759396
