Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
3595.0,8327.0,6835.0,-2385.0,-2517.0,1228.0,3.0,3.0,19.0,-10.0,-133.4801301673125,-133.48054866945395,-0.00041850214145711107,70.49859038733862,75.27697048937942,4.778380102040799,0.06648577177659841
3714.0,7601.0,3505.0,2661.0,67.0,3751.0,15.0,-18.0,13.0,-13.0,7.502396492605979,7.622067952136441,0.11967145953046199,35.360870483044785,35.38956946263662,0.028698979591837315,0.15174880596037071
1670.0,4763.0,3806.0,2157.0,80.0,5252.0,3.0,-14.0,-8.0,-1.0,9.244402378749875,9.403503408146438,0.15910102939656312,22.341832017641014,22.083541201314485,-0.2582908163265287,0.14884005863101032
8430.0,2772.0,3581.0,837.0,223.0,4826.0,4.0,-7.0,6.0,-15.0,23.368709480122085,23.092324835616523,-0.276384644505562,10.175422381399846,10.318917279359031,0.1434948979591848,0.10968567856381096
3362.0,2354.0,433.0,2034.0,6689.0,3752.0,14.0,4.0,20.0,-16.0,75.5619820630237,75.59371917290304,0.031737109879330205,61.779403644078144,66.28514343999652,4.505739795918373,0.10226441976541006
2672.0,8064.0,1282.0,99.0,-2201.0,2055.0,-14.0,13.0,19.0,22.0,-84.49557082480213,-84.5262051428799,-0.03063431807777306,46.993614556292805,51.49935435221117,4.505739795918366,0.14800993541091037
4584.0,1560.0,134.0,5318.0,2991.0,7534.0,-12.0,1.0,-6.0,10.0,27.49095705220317,27.426912229823603,-0.06404482237956799,39.002283489777774,41.42734726528797,2.4250637755101963,0.07735640967033015
5507.029802142416,6613.863589807197,3441.266076603655,-3808.280120309199,-3740.6833029702498,6392.026318676872,-18.70160214515195,-16.57297403822345,11.898463814250377,7.558808816016285,-135.13266552860992,-135.1277702103542,0.004895318255705661,39.86608115785083,39.134257178259,-0.7318239795918302,0.07605415101103931
2652.8426581722597,3997.011668804965,8413.359561661717,5061.528254734904,320.54301725083633,-4650.944797659,16.209165711458326,-5.03199340087383,11.498038974494996,-8.012051616163438,5.252168548762441,5.185990212398286,-0.06617833636415504,132.52220581058398,137.48712927997175,4.96492346938777,0.13840596783597972
8766.629451160996,4437.949682241677,3100.2574740416135,-7240.92005677359,2201.1888869339873,6622.814939110205,-10.941944768113277,1.0440365075749298,-6.914595821473885,33.29581473783733,162.57270419103028,162.53376369493043,-0.03894049609985473,48.810960354510605,48.53832004838815,-0.2726403061224545,0.06156870902481344
